Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
Simon Gonçalves,EDU,Yes,No,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,4,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Yes,Yes,No,Rather yes,Rather yes,No,Yes,Rather no,Rather no,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,No,7,1,7,-29.0,-9.0
Tobias Kipfer,EDU,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,Yes,Rather no,No,No,7,Yes,Rather no,Rather no,Yes,Yes,Rather yes,Yes,Rather yes,No,No,No,Yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather no,Rather yes,No,Yes,Rather yes,No,No,Yes,No,No,No,Rather no,No,Rather yes,Rather yes,Yes,Yes,Yes,2,6,2,36.5,8.0
Daniel Suter,EDU,Yes,Yes,Rather yes,Rather no,Yes,Rather no,Yes,No,No,Yes,7,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Rather no,Rather yes,Rather yes,No,Yes,Rather yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Rather yes,Rather yes,1,6,1,35.5,8.5
Andreas Graber,EDU,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather no,No,6,Yes,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,Rather no,Rather no,No,No,Rather yes,Rather no,No,Yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,4,5,3,22.0,11.0
Markus Kasser,EDU,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,No,Rather yes,7,Yes,Yes,No,Yes,Yes,No,Yes,Rather yes,No,No,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,Yes,Yes,Yes,Yes,Rather yes,2,5,4,20.0,11.5
Gnepf Patric,EDU,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,5,Rather yes,Rather no,Rather no,Yes,Yes,Rather no,Yes,Rather yes,Rather no,No,No,Rather yes,No,No,Rather no,No,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,3,2,4,6.5,5.0
Zeno Dähler,EDU,No,Yes,Rather no,Yes,Yes,Yes,Yes,Yes,No,Yes,6,Yes,Yes,No,Yes,No,No,Rather yes,Yes,No,Yes,No,Rather yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather no,No,Rather no,Yes,No,No,No,No,No,No,Rather no,Rather no,Yes,Yes,6,4,4,13.0,-2.0
Margrit Suter,EDU,Yes,Yes,Rather yes,Rather no,Yes,No,Rather yes,No,No,Yes,7,Yes,Rather yes,Yes,Rather no,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Rather no,No,No,Rather no,Rather no,Rather no,No,Yes,Rather yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Rather no,Rather yes,1,7,2,34.0,11.5
Claudia Schiesser - Gut,EDU,Yes,Yes,No,No,Rather no,Rather no,No,No,No,Yes,4,Rather no,Yes,No,No,Yes,No,Yes,Rather yes,No,No,No,Yes,Rather no,Rather no,Yes,Rather yes,Yes,No,Rather yes,Rather yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Rather yes,Yes,1,7,1,26.0,19.5
Hanspeter Dähler,EDU,Rather no,Yes,Rather no,Yes,No,No,Yes,No,Yes,Yes,7,No,Yes,Rather no,Yes,Rather no,Yes,Rather no,Yes,Rather yes,No,Rather no,Rather no,Yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather yes,No,Yes,No,Yes,Rather no,Rather yes,Yes,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather yes,Yes,No,7,1,4,-8.0,-14.5
Barbara Schipp,EDU,Rather no,Yes,No,No,No,Yes,Yes,No,No,Yes,6,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Rather no,Yes,Yes,No,Yes,Yes,No,No,Rather yes,No,No,Yes,No,Yes,Yes,Yes,1,4,2,34.5,9.0
Anton Baumberger,EDU,Rather no,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather no,3,Rather yes,Rather yes,No,Yes,Rather yes,No,Yes,No,No,No,No,No,No,No,Yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather yes,No,Rather yes,Rather yes,Rather yes,Yes,Rather no,No,No,No,Rather yes,No,Rather no,Yes,Rather yes,Yes,Yes,1,1,2,21.5,8.5
Franco Neuweiler,EDU,Rather yes,Rather yes,Rather no,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Rather no,5,Yes,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,Yes,Rather no,Rather no,No,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,3,3,4,1.0,2.0
Christoph Währer,EDU,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,5,Rather yes,Yes,Rather no,Rather yes,Yes,Rather no,Yes,Rather yes,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Yes,Rather no,Rather yes,Rather no,No,Yes,Rather no,Rather no,No,Rather no,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,Yes,5,3,2,12.5,9.0
Erich Schaffner,EDU,Rather no,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,No,No,Rather no,6,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,No,No,No,Yes,Rather no,Rather no,Yes,Yes,Yes,Yes,Rather no,Rather no,Yes,Rather no,Yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather no,Rather yes,Rather no,No,Rather yes,Yes,Yes,Rather yes,Yes,3,6,1,34.5,11.5
Markus Krauer,EDU,Rather no,Yes,Yes,Rather yes,No,Rather yes,Rather yes,No,No,Rather yes,6,Yes,Rather no,Rather yes,Yes,Yes,Rather no,Yes,Rather no,No,No,Rather no,Yes,No,No,Yes,Yes,Yes,Yes,Rather no,No,Yes,No,Yes,Rather yes,Rather no,Rather no,Rather yes,No,No,Rather no,No,No,Rather yes,Yes,Yes,Rather yes,Yes,3,5,1,36.5,8.5
Roman Hugentobler,AL,Yes,No,No,Yes,Yes,No,Yes,Yes,Rather yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,No,Yes,No,No,Yes,Yes,Yes,Rather yes,Yes,No,No,Rather no,Yes,No,7,1,6,-49.0,-13.0
Rona Jung,AL,Yes,No,No,Rather yes,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,No,Yes,Rather no,No,Yes,Yes,Yes,No,Yes,No,Rather no,No,Yes,Rather no,6,1,7,-50.0,-10.5
Miguel Pedro Bachmann,AL,Yes,Rather no,No,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,2,No,Yes,Yes,Yes,Rather no,Yes,Rather no,Yes,Yes,Rather no,Yes,Rather no,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Yes,Rather no,Yes,Rather no,7,1,7,-39.0,-5.0
Mia Speck,AL,Yes,No,No,Yes,Yes,No,Yes,Yes,Rather yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,No,Yes,Rather no,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,7,1,7,-51.5,-11.5
Lukas Schär,AL,Yes,No,No,Rather yes,Yes,No,Rather yes,Yes,Rather yes,Yes,1,No,Yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,No,Yes,Rather yes,No,Yes,Yes,Yes,No,Rather yes,Rather no,No,No,Yes,No,7,1,7,-48.0,-6.5
Géraldine Geiger,AL,Rather yes,No,No,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,1,No,Rather yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather no,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Rather no,Rather yes,No,Rather yes,No,Yes,No,7,1,7,-38.5,-8.5
Luca Jenni,AL,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,Rather no,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,No,Yes,Rather no,No,Yes,Yes,Yes,Rather no,Yes,No,Rather no,No,No,No,6,1,7,-47.0,-11.5
Céline Fischbacher,AL,Yes,No,No,Rather yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Rather yes,Rather no,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Rather yes,Rather no,No,Yes,Rather yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,6,2,7,-47.0,-7.0
Debora Tacheron,AL,Yes,Rather yes,Rather no,Yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,3,Rather yes,Yes,No,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,No,Yes,Rather no,No,Yes,Yes,Rather yes,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,Rather yes,Rather no,Yes,No,6,4,6,-26.5,-2.0
Andrea Werro,AL,Yes,Rather no,No,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,3,Rather yes,Yes,No,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Yes,Rather no,Yes,Rather no,Rather no,Yes,Yes,Yes,Rather yes,Rather no,No,Yes,Yes,Yes,Rather no,7,1,7,-27.0,-9.0
Hannah Grossglauser,AL,Yes,No,No,Rather no,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Rather yes,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,No,No,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,Yes,No,7,1,7,-47.0,-9.5
Cornelia Kästli,AL,Yes,Rather no,No,Yes,Yes,Rather no,Yes,Yes,Rather no,Yes,1,No,Yes,No,Yes,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,Rather no,Yes,Yes,No,Rather no,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Rather no,No,Rather yes,Yes,Yes,No,Yes,No,Rather no,No,Yes,No,7,1,7,-47.0,-6.5
Andreas (Andy) Geissberger,AL,Yes,No,No,Yes,Yes,Rather no,Rather yes,Rather no,Yes,Yes,2,No,Yes,No,Yes,Rather yes,Yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Rather yes,Rather no,No,Yes,Rather no,Rather yes,Yes,Yes,Yes,Rather no,Yes,Rather no,Yes,No,Yes,No,7,1,7,-42.5,-5.5
Lisa Weiller,AL,Yes,Rather yes,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,No,No,No,No,Yes,No,7,1,7,-42.0,-9.5
Alexandra Kuttnig,AL,Yes,No,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,5,Rather no,Yes,No,Rather yes,Rather no,Rather no,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,Rather yes,Yes,Yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,No,6,1,7,-29.0,-7.0
Elia Winter,AL,Rather yes,No,No,Yes,No,Rather yes,No,Rather yes,Yes,Yes,5,Rather no,Yes,Rather no,Rather yes,No,No,Rather yes,Yes,Rather yes,Yes,Yes,No,Yes,Yes,No,Yes,Rather no,No,Yes,Rather yes,Yes,Rather yes,No,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Rather no,Yes,Rather no,Rather no,Rather no,Yes,Rather no,6,2,6,-30.0,-12.0
Samira Zweifel,AL,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,Rather yes,Yes,Yes,2,No,Yes,No,Rather no,Rather yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,No,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Yes,Rather no,Rather no,Rather yes,Yes,No,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather no,6,3,7,-25.5,-3.0
Tanja Richli,AL,Yes,Rather no,No,Rather yes,Yes,Rather no,Rather no,Yes,Rather yes,Yes,3,Rather yes,Yes,No,Rather yes,Yes,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,No,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Rather no,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Rather yes,No,Rather no,Rather no,Yes,No,5,3,5,-30.5,-5.0
Kira Kölbl,AL,Yes,Rather no,No,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,4,Rather yes,Yes,No,Yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Rather no,Rather yes,No,Yes,Rather yes,No,Yes,Rather no,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather no,Rather no,Yes,Rather no,7,3,7,-24.5,-3.0
Simon Neuweiler,AL,Yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,3,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Rather yes,No,No,Rather no,Rather no,Yes,Rather no,Yes,No,No,No,Rather yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,No,Rather no,Rather no,Yes,No,6,1,4,-27.5,-8.0
Silvan Kiss,AL,Yes,Rather no,No,No,Yes,Rather yes,Yes,Rather yes,Rather no,Yes,1,Rather yes,Yes,No,Rather yes,Rather yes,Yes,Rather no,Yes,Yes,No,Yes,No,Yes,Rather yes,No,Rather no,No,No,Yes,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,No,7,1,7,-33.0,-6.0
Viviane Marchand,AL,Rather yes,No,No,Rather no,Yes,No,Yes,Yes,No,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,Yes,No,Yes,Rather no,No,Yes,Yes,Yes,Rather no,Yes,No,Rather no,No,Yes,No,7,1,7,-47.0,-11.0
Manuel Sahli,AL,Yes,No,No,Yes,Yes,No,Yes,Yes,Rather no,Yes,1,Rather no,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Rather no,Rather yes,No,Rather no,No,Yes,No,7,1,7,-49.5,-8.5
Bettina Winkler,AL,Yes,No,No,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,No,Yes,Yes,Rather yes,Yes,Rather no,No,Yes,No,No,Yes,Yes,Yes,Rather no,Yes,No,Rather no,Rather no,Yes,No,6,2,7,-46.5,-10.5
Peter (Düdü) Dürsteler,AL,Yes,Rather no,Rather no,Yes,Yes,Rather no,Rather yes,Rather yes,No,Yes,1,Rather no,Yes,No,Yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,Rather no,Yes,Yes,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather no,Rather no,Rather yes,Yes,Yes,No,Yes,Yes,Rather no,No,Yes,No,6,1,6,-38.5,-3.5
Céline Mühlebach,AL,Yes,Rather yes,No,Rather no,Rather yes,Rather no,Rather no,Yes,Rather yes,Yes,3,Rather yes,Yes,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Yes,Rather yes,No,Rather no,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather no,Rather no,Rather yes,Yes,Yes,Rather yes,Rather no,Rather no,Rather yes,No,Yes,Rather no,6,2,7,-30.5,-4.5
Natascha Helbling,AL,Yes,No,No,Yes,Yes,No,Rather yes,Rather yes,Rather yes,Yes,2,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Yes,Rather no,No,Rather yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,No,7,1,7,-49.0,-10.5
Basil Herzog,AL,Yes,No,No,Rather no,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,1,No,Yes,No,Rather yes,Rather yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,Rather no,Yes,Yes,Rather yes,Yes,No,No,Yes,Rather no,Rather no,Yes,Yes,Yes,Rather no,Yes,No,Rather no,No,Yes,No,7,1,7,-46.5,-9.5
Eric Kuhnt,AL,Yes,Rather no,No,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Yes,4,No,Yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,No,No,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,No,Rather yes,No,Rather no,Rather no,Rather yes,Rather no,2,7,2,-12.0,0.0
Franziska Kramer-Schwob,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,4,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather no,No,Rather no,Rather no,No,No,Rather yes,No,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,Rather no,No,No,Rather yes,Rather no,Yes,No,3,4,6,-8.5,1.0
Daniela Roth-Nater,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Yes,Rather no,Rather yes,Yes,3,Rather yes,Yes,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,No,Rather yes,No,Rather no,Rather no,No,No,Rather no,No,Rather yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Yes,Rather yes,No,Rather yes,Rather yes,Yes,No,No,Rather no,Rather yes,No,Yes,No,3,3,6,-16.5,-1.5
Alex Würzer,EVP,Rather yes,Rather yes,No,Yes,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,5,Yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Yes,Rather yes,Rather no,No,Yes,Yes,Yes,No,5,4,6,-4.0,-0.5
Daniel Rohner,EVP,Rather yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,6,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Yes,Rather no,No,Rather no,Rather yes,Rather no,Yes,Rather yes,2,4,4,2.5,1.0
Philipp Cao,EVP,Rather yes,Yes,No,Rather yes,Yes,Rather yes,Yes,Rather no,Rather yes,Yes,6,Yes,Rather yes,No,Yes,Rather no,Rather no,Yes,Rather yes,Rather no,No,Rather no,No,No,No,No,Rather yes,Rather yes,No,No,Rather yes,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,No,Yes,No,No,Rather no,Rather yes,Rather no,Rather yes,No,6,3,5,-4.5,-4.0
Philemon Diggelmann,EVP,Yes,Rather no,No,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,3,Rather no,Rather no,No,Yes,No,Rather no,Rather yes,Yes,Rather no,No,Yes,Rather no,Rather yes,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather no,Yes,Yes,No,No,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Yes,Rather no,5,1,6,-21.0,-9.5
Dominic Täubert,EVP,Yes,Rather yes,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,3,Rather no,Rather yes,No,Yes,No,Yes,Rather yes,Yes,Rather no,No,Yes,No,Rather no,Rather no,No,No,Rather yes,No,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Yes,No,Rather yes,Rather no,Yes,No,6,3,6,-24.5,-6.5
Pascale Leuch,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,4,Rather no,Yes,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,No,Rather no,No,Rather yes,Rather no,No,No,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Rather no,Rather no,No,Rather yes,Rather no,Yes,No,4,3,6,-20.0,-2.0
Tabea Kradolfer,EVP,Rather yes,Rather no,No,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,2,Yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,Yes,No,Rather yes,Rather yes,Rather yes,No,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,5,2,7,-12.5,3.0
Micha Fuss,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,4,Rather yes,Yes,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,No,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Rather yes,Yes,Yes,No,No,Rather yes,Yes,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather no,5,2,6,-18.5,-3.5
Lina Studerus,EVP,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,6,Yes,Rather yes,Rather no,Rather no,Yes,Yes,Yes,Yes,Rather yes,No,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,Yes,Yes,Rather no,Rather no,No,Yes,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Rather yes,Rather yes,Yes,Yes,No,Rather yes,Rather no,Yes,Rather yes,3,2,7,1.0,-10.5
Ruben Schmid,EVP,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,Yes,No,Yes,6,Rather no,Yes,Rather no,Rather yes,No,Rather no,Rather yes,No,No,No,No,No,No,Rather no,Yes,Rather no,Yes,Rather yes,No,Yes,Yes,Rather yes,No,No,Yes,No,No,Rather yes,Yes,Yes,Rather yes,No,Yes,Rather no,Rather no,Rather yes,Rather no,4,3,6,-6.5,1.5
Sara Pérez Vila,EVP,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,4,Rather yes,Yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather no,Rather no,No,No,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,No,No,Rather no,Rather yes,Rather no,Yes,No,3,4,4,-6.5,1.0
